,Id,ActivityDate,TotalTimeInBed,Id2,ActivityDay,StepTotal
0,1503960366,4/12/2016,346,1503960366,4/12/2016,13162
1,1503960366,4/13/2016,407,1503960366,4/13/2016,10735
2,1503960366,4/15/2016,442,1503960366,4/15/2016,9762
3,1503960366,4/16/2016,367,1503960366,4/16/2016,12669
4,1503960366,4/17/2016,712,1503960366,4/17/2016,9705
5,1503960366,4/19/2016,320,1503960366,4/19/2016,15506
6,1503960366,4/20/2016,377,1503960366,4/20/2016,10544
7,1503960366,4/21/2016,364,1503960366,4/21/2016,9819
8,1503960366,4/23/2016,384,1503960366,4/23/2016,14371
9,1503960366,4/24/2016,449,1503960366,4/24/2016,10039
10,1503960366,4/25/2016,323,1503960366,4/25/2016,15355
11,1503960366,4/26/2016,274,1503960366,4/26/2016,13755
12,1503960366,4/28/2016,393,1503960366,4/28/2016,13154
13,1503960366,4/29/2016,354,1503960366,4/29/2016,11181
14,1503960366,4/30/2016,425,1503960366,4/30/2016,14673
15,1503960366,5/10/2016,403,1503960366,5/10/2016,12207
16,1503960366,5/11/2016,306,1503960366,5/11/2016,12770
17,1644430081,4/29/2016,127,1644430081,4/29/2016,3176
18,1644430081,4/30/2016,142,1644430081,4/30/2016,18213
19,1844505072,4/15/2016,961,1844505072,4/15/2016,3844
20,1844505072,4/30/2016,961,1844505072,4/30/2016,4014
21,1927972279,4/12/2016,775,1927972279,4/12/2016,678
22,1927972279,4/13/2016,422,1927972279,4/13/2016,356
23,1927972279,4/15/2016,499,1927972279,4/15/2016,980
24,1927972279,4/26/2016,315,1927972279,4/26/2016,3761
25,1927972279,4/28/2016,178,1927972279,4/28/2016,1675
26,2026352035,4/12/2016,546,2026352035,4/12/2016,4414
27,2026352035,4/13/2016,565,2026352035,4/13/2016,4993
28,2026352035,4/14/2016,568,2026352035,4/14/2016,3335
29,2026352035,4/15/2016,573,2026352035,4/15/2016,3821
30,2026352035,4/16/2016,567,2026352035,4/16/2016,2547
31,2026352035,4/17/2016,498,2026352035,4/17/2016,838
32,2026352035,4/19/2016,540,2026352035,4/19/2016,2424
33,2026352035,4/20/2016,510,2026352035,4/20/2016,7222
34,2026352035,4/21/2016,514,2026352035,4/21/2016,2467
35,2026352035,4/22/2016,545,2026352035,4/22/2016,2915
36,2026352035,4/23/2016,554,2026352035,4/23/2016,12357
37,2026352035,4/24/2016,591,2026352035,4/24/2016,3490
38,2026352035,4/25/2016,531,2026352035,4/25/2016,6017
39,2026352035,4/27/2016,545,2026352035,4/27/2016,6088
40,2026352035,4/28/2016,545,2026352035,4/28/2016,6375
41,2026352035,4/29/2016,510,2026352035,4/29/2016,7604
42,2026352035,4/30/2016,607,2026352035,4/30/2016,4729
43,2026352035,5/10/2016,380,2026352035,5/10/2016,254
44,2026352035,5/11/2016,553,2026352035,5/11/2016,8580
45,2026352035,5/12/2016,485,2026352035,5/12/2016,8891
46,2320127002,4/23/2016,69,2320127002,4/23/2016,5079
47,2347167796,4/13/2016,531,2347167796,4/13/2016,10352
48,2347167796,4/14/2016,489,2347167796,4/14/2016,10129
49,2347167796,4/15/2016,504,2347167796,4/15/2016,10465
50,2347167796,4/17/2016,602,2347167796,4/17/2016,5472
51,2347167796,4/18/2016,557,2347167796,4/18/2016,8247
52,2347167796,4/19/2016,514,2347167796,4/19/2016,6711
53,2347167796,4/21/2016,484,2347167796,4/21/2016,10080
54,2347167796,4/22/2016,461,2347167796,4/22/2016,7804
55,2347167796,4/23/2016,386,2347167796,4/23/2016,16901
56,2347167796,4/24/2016,459,2347167796,4/24/2016,9471
57,2347167796,4/25/2016,471,2347167796,4/25/2016,9482
58,2347167796,4/26/2016,490,2347167796,4/26/2016,5980
59,2347167796,4/27/2016,499,2347167796,4/27/2016,11423
60,2347167796,4/28/2016,450,2347167796,4/28/2016,5439
61,2347167796,4/29/2016,473,2347167796,4/29/2016,42
62,3977333714,4/12/2016,469,3977333714,4/12/2016,8856
63,3977333714,4/13/2016,456,3977333714,4/13/2016,10035
64,3977333714,4/14/2016,397,3977333714,4/14/2016,7641
65,3977333714,4/15/2016,556,3977333714,4/15/2016,9010
66,3977333714,4/16/2016,510,3977333714,4/16/2016,13459
67,3977333714,4/17/2016,566,3977333714,4/17/2016,10415
68,3977333714,4/18/2016,522,3977333714,4/18/2016,11663
69,3977333714,4/19/2016,395,3977333714,4/19/2016,12414
70,3977333714,4/20/2016,305,3977333714,4/20/2016,11658
71,3977333714,4/21/2016,512,3977333714,4/21/2016,6093
72,3977333714,4/22/2016,476,3977333714,4/22/2016,8911
73,3977333714,4/23/2016,372,3977333714,4/23/2016,12058
74,3977333714,4/24/2016,526,3977333714,4/24/2016,14112
75,3977333714,4/25/2016,467,3977333714,4/25/2016,11177
76,3977333714,4/26/2016,371,3977333714,4/26/2016,11388
77,3977333714,4/27/2016,540,3977333714,4/27/2016,7193
78,3977333714,4/28/2016,423,3977333714,4/28/2016,7114
79,3977333714,4/29/2016,478,3977333714,4/29/2016,10645
80,3977333714,4/30/2016,382,3977333714,4/30/2016,13238
81,3977333714,5/10/2016,452,3977333714,5/10/2016,13072
82,4020332650,4/12/2016,541,4020332650,4/12/2016,8539
83,4020332650,4/16/2016,77,4020332650,4/16/2016,1982
84,4020332650,5/10/2016,494,4020332650,5/10/2016,5546
85,4319703577,4/14/2016,557,4319703577,4/14/2016,10210
86,4319703577,4/15/2016,491,4319703577,4/15/2016,5664
87,4319703577,4/16/2016,522,4319703577,4/16/2016,4744
88,4319703577,4/18/2016,551,4319703577,4/18/2016,2276
89,4319703577,4/19/2016,498,4319703577,4/19/2016,8925
90,4319703577,4/20/2016,543,4319703577,4/20/2016,8954
91,4319703577,4/21/2016,65,4319703577,4/21/2016,3702
92,4319703577,4/22/2016,550,4319703577,4/22/2016,4500
93,4319703577,4/23/2016,722,4319703577,4/23/2016,4935
94,4319703577,4/24/2016,501,4319703577,4/24/2016,4081
95,4319703577,4/25/2016,506,4319703577,4/25/2016,9259
96,4319703577,4/26/2016,516,4319703577,4/26/2016,9899
97,4319703577,4/27/2016,307,4319703577,4/27/2016,10780
98,4319703577,4/28/2016,522,4319703577,4/28/2016,10817
99,4319703577,4/29/2016,546,4319703577,4/29/2016,7990
100,4319703577,4/30/2016,516,4319703577,4/30/2016,8221
101,4319703577,5/10/2016,517,4319703577,5/10/2016,9487
102,4319703577,5/11/2016,558,4319703577,5/11/2016,9129
103,4319703577,5/12/2016,321,4319703577,5/12/2016,17
104,4388161847,4/15/2016,526,4388161847,4/15/2016,8758
105,4388161847,4/16/2016,448,4388161847,4/16/2016,6580
106,4388161847,4/17/2016,641,4388161847,4/17/2016,4660
107,4388161847,4/18/2016,104,4388161847,4/18/2016,11009
108,4388161847,4/19/2016,338,4388161847,4/19/2016,10181
109,4388161847,4/20/2016,451,4388161847,4/20/2016,10553
110,4388161847,4/21/2016,458,4388161847,4/21/2016,10055
111,4388161847,4/22/2016,85,4388161847,4/22/2016,12139
112,4388161847,4/23/2016,501,4388161847,4/23/2016,13236
113,4388161847,4/24/2016,595,4388161847,4/24/2016,10243
114,4388161847,4/26/2016,346,4388161847,4/26/2016,9461
115,4388161847,4/27/2016,500,4388161847,4/27/2016,11193
116,4388161847,4/28/2016,458,4388161847,4/28/2016,10074
117,4388161847,4/30/2016,430,4388161847,4/30/2016,12533
118,4388161847,5/10/2016,375,4388161847,5/10/2016,10299
119,4388161847,5/11/2016,494,4388161847,5/11/2016,10201
120,4445114986,4/12/2016,457,4445114986,4/12/2016,3276
121,4445114986,4/13/2016,406,4445114986,4/13/2016,2961
122,4445114986,4/14/2016,492,4445114986,4/14/2016,3974
123,4445114986,4/15/2016,379,4445114986,4/15/2016,7198
124,4445114986,4/16/2016,499,4445114986,4/16/2016,3945
125,4445114986,4/17/2016,107,4445114986,4/17/2016,2268
126,4445114986,4/19/2016,424,4445114986,4/19/2016,2064
127,4445114986,4/20/2016,462,4445114986,4/20/2016,2072
128,4445114986,4/21/2016,469,4445114986,4/21/2016,3809
129,4445114986,4/22/2016,417,4445114986,4/22/2016,6831
130,4445114986,4/25/2016,345,4445114986,4/25/2016,3385
131,4445114986,4/26/2016,391,4445114986,4/26/2016,6326
132,4445114986,4/27/2016,374,4445114986,4/27/2016,7243
133,4445114986,4/28/2016,442,4445114986,4/28/2016,4493
134,4445114986,4/29/2016,108,4445114986,4/29/2016,4676
135,4445114986,4/30/2016,353,4445114986,4/30/2016,6222
136,4445114986,5/10/2016,426,4445114986,5/10/2016,3915
137,4445114986,5/11/2016,530,4445114986,5/11/2016,9105
138,4445114986,5/12/2016,501,4445114986,5/12/2016,768
139,4558609924,4/21/2016,137,4558609924,4/21/2016,13743
140,4558609924,4/26/2016,121,4558609924,4/26/2016,9148
141,4558609924,4/29/2016,179,4558609924,4/29/2016,7833
142,4702921684,4/12/2016,439,4702921684,4/12/2016,7213
143,4702921684,4/13/2016,430,4702921684,4/13/2016,6877
144,4702921684,4/14/2016,415,4702921684,4/14/2016,7860
145,4702921684,4/15/2016,257,4702921684,4/15/2016,6506
146,4702921684,4/16/2016,406,4702921684,4/16/2016,11140
147,4702921684,4/17/2016,612,4702921684,4/17/2016,12692
148,4702921684,4/18/2016,312,4702921684,4/18/2016,9105
149,4702921684,4/19/2016,487,4702921684,4/19/2016,6708
150,4702921684,4/20/2016,468,4702921684,4/20/2016,8793
151,4702921684,4/21/2016,434,4702921684,4/21/2016,6530
152,4702921684,4/23/2016,475,4702921684,4/23/2016,15126
153,4702921684,4/24/2016,506,4702921684,4/24/2016,15050
154,4702921684,4/25/2016,380,4702921684,4/25/2016,9167
155,4702921684,4/26/2016,429,4702921684,4/26/2016,6108
156,4702921684,4/27/2016,449,4702921684,4/27/2016,7047
157,4702921684,4/28/2016,461,4702921684,4/28/2016,9023
158,4702921684,4/29/2016,447,4702921684,4/29/2016,9930
159,4702921684,4/30/2016,501,4702921684,4/30/2016,10144
160,4702921684,5/10/2016,431,4702921684,5/10/2016,10613
161,4702921684,5/11/2016,366,4702921684,5/11/2016,9810
162,4702921684,5/12/2016,442,4702921684,5/12/2016,2752
163,5553957443,4/12/2016,464,5553957443,4/12/2016,11596
164,5553957443,4/13/2016,488,5553957443,4/13/2016,4832
165,5553957443,4/14/2016,418,5553957443,4/14/2016,17022
166,5553957443,4/15/2016,409,5553957443,4/15/2016,16556
167,5553957443,4/16/2016,686,5553957443,4/16/2016,5771
168,5553957443,4/17/2016,402,5553957443,4/17/2016,655
169,5553957443,4/18/2016,541,5553957443,4/18/2016,3727
170,5553957443,4/19/2016,410,5553957443,4/19/2016,15482
171,5553957443,4/20/2016,678,5553957443,4/20/2016,2713
172,5553957443,4/21/2016,431,5553957443,4/21/2016,12346
173,5553957443,4/22/2016,353,5553957443,4/22/2016,11682
174,5553957443,4/23/2016,725,5553957443,4/23/2016,4112
175,5553957443,4/24/2016,640,5553957443,4/24/2016,1807
176,5553957443,4/25/2016,468,5553957443,4/25/2016,10946
177,5553957443,4/26/2016,453,5553957443,4/26/2016,11886
178,5553957443,4/27/2016,391,5553957443,4/27/2016,10538
179,5553957443,4/28/2016,457,5553957443,4/28/2016,11393
180,5553957443,4/29/2016,495,5553957443,4/29/2016,12764
181,5553957443,4/30/2016,843,5553957443,4/30/2016,1202
182,5553957443,5/10/2016,443,5553957443,5/10/2016,16358
183,5553957443,5/11/2016,486,5553957443,5/11/2016,4926
184,5553957443,5/12/2016,475,5553957443,5/12/2016,3121
185,5577150313,4/12/2016,438,5577150313,4/12/2016,8135
186,5577150313,4/13/2016,458,5577150313,4/13/2016,5077
187,5577150313,4/14/2016,497,5577150313,4/14/2016,8596
188,5577150313,4/15/2016,413,5577150313,4/15/2016,12087
189,5577150313,4/16/2016,445,5577150313,4/16/2016,14269
190,5577150313,4/17/2016,583,5577150313,4/17/2016,12231
191,5577150313,4/18/2016,553,5577150313,4/18/2016,9893
192,5577150313,4/19/2016,465,5577150313,4/19/2016,12574
193,5577150313,4/20/2016,480,5577150313,4/20/2016,8330
194,5577150313,4/21/2016,437,5577150313,4/21/2016,10830
195,5577150313,4/22/2016,366,5577150313,4/22/2016,9172
196,5577150313,4/23/2016,402,5577150313,4/23/2016,7638
197,5577150313,4/24/2016,615,5577150313,4/24/2016,15764
198,5577150313,4/25/2016,461,5577150313,4/25/2016,6393
199,5577150313,4/26/2016,377,5577150313,4/26/2016,5325
200,5577150313,4/27/2016,452,5577150313,4/27/2016,6805
201,5577150313,4/28/2016,372,5577150313,4/28/2016,9841
202,5577150313,4/29/2016,485,5577150313,4/29/2016,7924
203,5577150313,4/30/2016,433,5577150313,4/30/2016,12363
204,5577150313,5/10/2016,562,5577150313,5/10/2016,8869
205,5577150313,5/11/2016,476,5577150313,5/11/2016,4038
206,6117666160,4/16/2016,398,6117666160,4/16/2016,14450
207,6117666160,4/17/2016,350,6117666160,4/17/2016,7150
208,6117666160,4/18/2016,510,6117666160,4/18/2016,5153
209,6117666160,4/19/2016,492,6117666160,4/19/2016,11135
210,6117666160,4/20/2016,502,6117666160,4/20/2016,10449
211,6117666160,4/21/2016,550,6117666160,4/21/2016,19542
212,6117666160,4/22/2016,546,6117666160,4/22/2016,8206
213,6117666160,4/23/2016,539,6117666160,4/23/2016,11495
214,6117666160,4/24/2016,367,6117666160,4/24/2016,7623
215,6117666160,4/27/2016,557,6117666160,4/27/2016,9411
216,6117666160,4/28/2016,416,6117666160,4/28/2016,3403
217,6117666160,4/29/2016,636,6117666160,4/29/2016,9592
218,6775888955,4/13/2016,260,6775888955,4/13/2016,4053
219,6775888955,4/14/2016,441,6775888955,4/14/2016,5162
220,6775888955,4/15/2016,406,6775888955,4/15/2016,1282
221,6962181067,4/12/2016,387,6962181067,4/12/2016,10199
222,6962181067,4/13/2016,679,6962181067,4/13/2016,5652
223,6962181067,4/14/2016,535,6962181067,4/14/2016,1551
224,6962181067,4/15/2016,386,6962181067,4/15/2016,5563
225,6962181067,4/16/2016,366,6962181067,4/16/2016,13217
226,6962181067,4/17/2016,446,6962181067,4/17/2016,10145
227,6962181067,4/18/2016,458,6962181067,4/18/2016,11404
228,6962181067,4/19/2016,535,6962181067,4/19/2016,10742
229,6962181067,4/20/2016,424,6962181067,4/20/2016,13928
230,6962181067,4/21/2016,457,6962181067,4/21/2016,11835
231,6962181067,4/22/2016,435,6962181067,4/22/2016,10725
232,6962181067,4/23/2016,546,6962181067,4/23/2016,20031
233,6962181067,4/24/2016,514,6962181067,4/24/2016,5029
234,6962181067,4/25/2016,415,6962181067,4/25/2016,13239
235,6962181067,4/26/2016,446,6962181067,4/26/2016,10433
236,6962181067,4/27/2016,467,6962181067,4/27/2016,10320
237,6962181067,4/28/2016,453,6962181067,4/28/2016,12627
238,6962181067,4/29/2016,447,6962181067,4/29/2016,10762
239,6962181067,4/30/2016,424,6962181067,4/30/2016,10081
240,6962181067,5/10/2016,481,6962181067,5/10/2016,15448
241,6962181067,5/11/2016,480,6962181067,5/11/2016,6722
242,6962181067,5/12/2016,535,6962181067,5/12/2016,3587
243,7007744171,4/16/2016,82,7007744171,4/16/2016,4631
244,7086361926,4/12/2016,525,7086361926,4/12/2016,11317
245,7086361926,4/13/2016,465,7086361926,4/13/2016,5813
246,7086361926,4/14/2016,476,7086361926,4/14/2016,9123
247,7086361926,4/15/2016,386,7086361926,4/15/2016,8585
248,7086361926,4/19/2016,483,7086361926,4/19/2016,10688
249,7086361926,4/20/2016,502,7086361926,4/20/2016,14365
250,7086361926,4/21/2016,411,7086361926,4/21/2016,9469
251,7086361926,4/22/2016,448,7086361926,4/22/2016,9753
252,7086361926,4/24/2016,704,7086361926,4/24/2016,3520
253,7086361926,4/25/2016,447,7086361926,4/25/2016,10091
254,7086361926,4/26/2016,500,7086361926,4/26/2016,10387
255,7086361926,4/27/2016,479,7086361926,4/27/2016,11107
256,7086361926,4/28/2016,367,7086361926,4/28/2016,11584
257,7086361926,4/30/2016,489,7086361926,4/30/2016,14560
258,7086361926,5/11/2016,463,7086361926,5/11/2016,9572
259,7086361926,5/12/2016,457,7086361926,5/12/2016,3789
260,8053475328,4/20/2016,493,8053475328,4/20/2016,15108
261,8053475328,4/23/2016,337,8053475328,4/23/2016,22359
262,8378563200,4/12/2016,356,8378563200,4/12/2016,7626
263,8378563200,4/13/2016,487,8378563200,4/13/2016,12386
264,8378563200,4/14/2016,455,8378563200,4/14/2016,13318
265,8378563200,4/15/2016,533,8378563200,4/15/2016,14461
266,8378563200,4/16/2016,689,8378563200,4/16/2016,11207
267,8378563200,4/17/2016,591,8378563200,4/17/2016,2132
268,8378563200,4/18/2016,451,8378563200,4/18/2016,13630
269,8378563200,4/19/2016,421,8378563200,4/19/2016,13070
270,8378563200,4/20/2016,409,8378563200,4/20/2016,9388
271,8378563200,4/21/2016,417,8378563200,4/21/2016,15148
272,8378563200,4/22/2016,469,8378563200,4/22/2016,12200
273,8378563200,4/23/2016,591,8378563200,4/23/2016,5709
274,8378563200,4/24/2016,492,8378563200,4/24/2016,3703
275,8378563200,4/25/2016,402,8378563200,4/25/2016,12405
276,8378563200,4/25/2016,402,8378563200,4/25/2016,12405
277,8378563200,4/26/2016,584,8378563200,4/26/2016,16208
278,8378563200,4/27/2016,600,8378563200,4/27/2016,7359
279,8378563200,4/28/2016,556,8378563200,4/28/2016,5417
280,8378563200,4/29/2016,562,8378563200,4/29/2016,6175
281,8378563200,4/30/2016,555,8378563200,4/30/2016,2946
282,8378563200,5/10/2016,391,8378563200,5/10/2016,6582
283,8378563200,5/11/2016,387,8378563200,5/11/2016,9143
284,8378563200,5/12/2016,546,8378563200,5/12/2016,4561
285,8792009665,4/12/2016,493,8792009665,4/12/2016,2564
286,8792009665,4/13/2016,552,8792009665,4/13/2016,1320
287,8792009665,4/14/2016,503,8792009665,4/14/2016,1219
288,8792009665,4/15/2016,377,8792009665,4/15/2016,2483
289,8792009665,4/20/2016,547,8792009665,4/20/2016,3147
290,8792009665,4/22/2016,407,8792009665,4/22/2016,4068
291,8792009665,4/23/2016,360,8792009665,4/23/2016,5245
292,8792009665,4/27/2016,428,8792009665,4/27/2016,1758
293,8792009665,4/28/2016,416,8792009665,4/28/2016,6157
294,8792009665,4/29/2016,406,8792009665,4/29/2016,8360
295,8792009665,4/30/2016,360,8792009665,4/30/2016,7174
